#location service enabled;location service intializing;location updated;userheading updated;location provider;location provider class;time device [utc];time location [utc];latitude;longitude;accuracy [m];user heading [�];device orientation [�];speed [km/h];has gps fix;satellites used;satellites in view
True;False;False;True;unity;DeviceLocationProvider;20180524-163739.448;20180524-163740.000;32.882314;-117.23492;3.0;220.3;147.0;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163739.974;20180524-163741.000;32.882328;-117.234912;3.0;221.1;227.0;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163740.449;20180524-163741.000;32.882313;-117.234937;3.0;221.1;190.8;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163740.946;20180524-163742.000;32.882301;-117.234935;4.0;217.6;198.0;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163741.447;20180524-163742.000;32.882318;-117.234915;4.0;217.6;188.5;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163741.952;20180524-163743.000;32.882317;-117.234921;4.0;218.2;309.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163742.453;20180524-163743.000;32.882312;-117.234934;4.0;218.2;154.5;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163742.953;20180524-163744.000;32.882321;-117.234927;5.0;218.3;147.8;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163743.453;20180524-163744.000;32.882312;-117.23493;5.0;218.3;352.5;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163743.951;20180524-163745.000;32.882326;-117.23488;5.0;207.2;93.4;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163744.455;20180524-163745.000;32.882314;-117.234936;5.0;207.2;163.4;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163744.953;20180524-163746.000;32.882323;-117.234885;6.0;194.6;200.4;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163745.452;20180524-163746.000;32.882316;-117.234932;6.0;194.6;203.4;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163745.958;20180524-163747.000;32.882325;-117.234887;6.0;192.8;148.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163746.461;20180524-163747.000;32.882326;-117.234917;6.0;192.8;290.5;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163746.960;20180524-163748.000;32.882317;-117.234922;6.0;198.6;297.3;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163747.460;20180524-163748.000;32.882309;-117.234929;6.0;198.6;278.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163747.960;20180524-163749.000;32.882338;-117.23489;6.0;214.9;7.7;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163748.462;20180524-163749.000;32.882326;-117.234919;6.0;214.9;257.0;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163748.962;20180524-163750.000;32.882377;-117.234854;7.0;230.3;153.6;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163749.464;20180524-163750.000;32.882326;-117.234877;7.0;230.3;196.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
